39,"What is the output of the program snippet below: <br/> CONST name = 'sade';<br/>...<br/>write('My name is ',name);<br/>writeln('I am a lady');",The program prints 'My name is sadeIam a lady' on the same line,The program prints 'My name is sade' and then 'I am a lady' on the next line,"The program prints 'My name is sade, I am a lady' on the same line",The program would return an error,a
40,"There are two types of file in pascal, these are",Temporary and permanent file,External and internal file,Assigned and Un-Assigned file,A and B,d
41,Which of the following declarations is correct for a class1 that wishes to inherit another class2?,VAR class1 : class2,TYPE class1 = class2,TYPE class1 = (class)class2, VAR class1 : (class)class2,c
42,Which of the following correctly define an algorithm?,It is the sequential steps of solving a computational task,It is the methods involved in solving a programming problem,It is diagramatic/graphical representation of a computer program,It is the sequential steps of solving a computational task written in any language,d
43,Which of the following declarations of a variable is correct?,VARIABLE ade = 35 : integer;,var yayi: real;,VAR input : integer;,B and C,b
44,Which of the following is true about a function?,It has a return type,It has the same declaration as a procedure,It can be declared in the body of the program,It must be called within a repetitive statement,a
45,"Which of the following is correct about the efficiency of programming languages? <br/>ML(Machine Lang.),AL(Assembly Lang.),HLL(High Level Lang.)",ML<AL<HLL,HLL>AL>ML,ML>AL>HLL,HLL>ML>AL,c
46,Which of the following is not an access specifier?,public,private,protected,internal,d
47,The type of memory whose size is usually in few kilobytes that acts as a temporary holding area for instruction and data is known as _______,Random Access Memory,Register,Mass Memory,Logical Memory,b
48,An expression is defined as, A collection of operands,A collection of operands joined by operators,A collection of algebraic terms,Addition of two or more operands,b
49,Which of the following operators is used to perform truncated division?, /,DIV,MOD,TRUNC,b
50,Which of the following procedures can be called to open a file?,Reset,Rewrite,Append,All of the above,d
51,Which of the following is used to write to an untyped binary file, Assign,Block Read,BlockWrite,B and C,c
52,A compiler converts a computer program otherwise known as _________ into an equivalent machine code,object code,high level code,source code,byte code,b
53,Which of the following is correct about a constant?,It is a program element whose value can be modified during program execution,It is a program element whose value won't change during program execution,It is a program element that is assigned value during execution,None of the above,b
54,Which of the following is not true about the operators = and := in pascal?,:= is an assignment operator, = is used for comparison,:= is used during constant declaration, = can be used to form boolean expressions,c
55,All but one of the following is true about the data store in an array,They are homogenous,The are ordered,The are added in ascending order,They can be modified,c
56,Which of the following access specifiers denotes fields that are not accessible outside the unit that declares the class?,public,private,internal,protected,b
57,The type of software which manages computer resources such as processor and memories is the ______?,Translators,System Software,Utility Program,Application Software,b
58,Pascal can be regarded as a ________ type of programming language,Object Oriented,Structured,Case Sensitive,Query generating,b
59,The two programming structures used for modularization in pascal are,Repeat...until and while...do,selection and iteration,procedure and function,sub-unit and case structure,c
60,Which of the following is not true about an array and a record data type?,They are both structured data type,Array elements are retrieved by their index while record fields are retrieved by their name,Their content is homogenous,They are both temporary storage,c
